Time,Amount,Note
"9/19/17, 10:30 AM",1.7 oz.,
"9/19/17, 11:40 AM",1.95 oz.,"0.3 0.5
0.7 1.25"
"9/19/17, 4:36 PM",1.5 oz.,0.7 0.8
"9/19/17, 6:58 PM",2.3 oz.,"Tried Naya pump, only got out 0.75."
"9/19/17, 8:31 PM",2.7 oz.,PP 1 1.8
"9/20/17, 1:00 AM",3.8 oz.,1.4 2.4
"9/20/17, 7:00 AM",4.8 oz.,1.3 3.5
"9/20/17, 9:39 AM",2 oz.,0.9 1.1
"9/20/17, 10:30 AM",1.5 oz.,
"9/20/17, 12:45 PM",1.7 oz.,0.6 1.1
"9/20/17, 4:15 PM",1.3 oz.,0.5 0.8
"9/20/17, 6:00 PM",.5 oz.,
"9/20/17, 8:20 PM",2.8 oz.,1 1.8
"9/21/17, 1:18 AM",2.7 oz.,After nursing. 0.7 2
"9/21/17, 7:00 AM",5.4 oz.,2.2 3.2
"9/21/17, 10:10 AM",3.15 oz.,"7:50 0.25 0.5
9:00 0.5 0.9
10:10 0.4 0.6"
"9/21/17, 12:42 PM",1.8 oz.,0.5 1.3
"9/21/17, 3:40 PM",1.6 oz.,0.2 1.4
"9/21/17, 4:40 PM",1.4 oz.,
"9/21/17, 6:40 PM",2 oz.,0.7 1.3
"9/21/17, 9:12 PM",2.8 oz.,"0.75 1.7
1 1.8"
"9/22/17, 12:27 AM",4.05 oz.,"1 1.8
1.5 2.55"
"9/22/17, 7:40 AM",4.9 oz.,1 3.9
"9/22/17, 9:40 AM",2.4 oz.,
"9/22/17, 11:30 AM",1.7 oz.,
"9/22/17, 12:30 PM",1 oz.,0.25 0.75
"9/22/17, 1:35 PM",.9 oz.,0.3 0.6
"9/22/17, 5:03 PM",1.6 oz.,0.4 1.2 after feeding
"9/22/17, 7:10 PM",2.05 oz.,0.75 1.3
"9/22/17, 9:30 PM",2.9 oz.,"0.9 1.8
1 1.9"
"9/23/17, 1:29 AM",2.25 oz.,0.25 2
"9/23/17, 6:51 AM",4 oz.,1.2 2.9
"9/23/17, 8:50 AM",2.7 oz.,1 1.7
"9/23/17, 10:01 AM",.75 oz.,0.25 0.5
"9/23/17, 12:00 PM",2 oz.,0.7 1.3
"9/23/17, 1:45 PM",1.8 oz.,
"9/23/17, 4:00 PM",2.2 oz.,0.8 1.4
"9/23/17, 6:00 PM",1 oz.,0.5 0.5
"9/23/17, 8:00 PM",1.9 oz.,"0.5 0.8
0.6 1
0.8 1.1"
"9/24/17, 1:10 AM",3 oz.,0.25 2.8
"9/24/17, 7:24 AM",4 oz.,
"9/24/17, 9:00 AM",2.3 oz.,0.8 1.5
"9/24/17, 11:00 AM",1.8 oz.,
"9/24/17, 1:05 PM",2.3 oz.,0.9 1.4
"9/24/17, 3:10 PM",1.9 oz.,0.8 1.1
"9/24/17, 5:20 PM",2.5 oz.,0.9 1.6
"9/24/17, 7:10 PM",1.8 oz.,0.7 1.1
"9/24/17, 9:15 PM",2 oz.,0.8 1.2
"9/25/17, 1:29 AM",3.9 oz.,1.5 2.4
"9/25/17, 6:30 AM",2.7 oz.,0.8 1.9
"9/25/17, 8:15 AM",1.9 oz.,0.7 1.2
"9/25/17, 10:15 AM",2 oz.,0.7 1.3
"9/25/17, 11:15 AM",.65 oz.,0.25 0.4
"9/25/17, 12:06 PM",1 oz.,0.5 0.5
"9/25/17, 1:50 PM",1.7 oz.,0.7 1
"9/25/17, 4:10 PM",.75 oz.,0.25 0.5
"9/25/17, 5:25 PM",1.6 oz.,0.6 1
"9/25/17, 7:20 PM",2 oz.,0.75 1.25
"9/25/17, 9:00 PM",1.5 oz.,0.5 1
"9/26/17, 1:18 AM",2.8 oz.,0.5 2.3
"9/26/17, 6:50 AM",2.9 oz.,0.9 1
